source_id,project_id,action,country,name
NI-015,GL015,新增条目,科索沃,NewCo Ferronikeli Complex 纽科费罗尼克利(NewCo Ferronikeli)镍铁联合企业
NI-016,GL016,新增条目,芬兰,Boliden Harjavalta Smelter (nickel line) 波利登哈尔亚瓦尔塔冶炼厂（镍线）
NI-017,GL017,新增条目,芬兰,Nornickel Harjavalta (Norilsk Nickel Harjavalta Oy) Nickel Refinery 诺里尔斯克镍业哈尔亚瓦尔塔精炼厂
NI-018,GL018,新增条目,芬兰,Kokkola (Umicore Finland) — planned 50kt nickel refinery (paused); existing cobalt/pCAM plant 科科拉(Umicore)镍精炼规划线(暂停)；现有钴精炼/pCAM厂
NI-019,MHP046,合并已有条目,芬兰,Terrafame Ltd 特拉法姆索特卡莫项目
NI-020,GL020,新增条目,英国,Hafod Isha Nickel and Cobalt Works (H.H. Vivian & Co. Ltd.) 哈福德伊沙(Hafod Isha)镍钴厂(维维安父子公司)
NI-021,GL021,新增条目,英国,Vale Clydach Refinery 淡水河谷克莱达赫(Clydach)镍精炼厂
NI-022,GL022,新增条目,英国,INCO / Vale Acton Refinery (London) 国际镍公司(INCO)/淡水河谷阿克顿(Acton)精炼厂（伦敦）
NI-023,GL023,新增条目,阿尔巴尼亚,"Elbasan Metallurgical Combine – Nickel-Cobalt Plant (""Steel of the Party"" / Kombinati Metalurgjik ""Çeliku i Partisë"") 埃尔巴桑冶金联合企业镍钴厂(""党的钢铁""联合企业)"
NI-024,GL024,新增条目,乌克兰,Pobuzhsky Ferronickel Plant (PFK) 波布日镍铁厂（PFK）
NI-025,GL025,新增条目,俄罗斯,Ufaleynickel (OAO/JSC Ufaleynickel) 乌法列镍厂
NI-026,GL026,新增条目,俄罗斯,Rezhnickel (ZAO/OAO Rezhnickel) 雷日镍厂
NI-027,GL027,新增条目,俄罗斯,"South Urals Nickel Combine (Kombinat Yuzhuralnickel), Orsk 南乌拉尔镍联合企业（奥尔斯克）"
NI-028,GL028,新增条目,俄罗斯,"Severonickel (Kola MMC Refining Plant), Monchegorsk 北方镍厂（科拉矿冶公司精炼厂，蒙切戈尔斯克）"
NI-029,GL029,新增条目,俄罗斯,Nickel Plant (Norilsk) [Никелевый завод] 诺里尔斯克镍厂（老镍厂）
NI-030,GL030,新增条目,俄罗斯,"Pechenganickel Combine Smelter, Nikel 佩琴加镍厂（尼克尔镇冶炼厂）"
NI-031,GL031,新增条目,俄罗斯,Nadezhda Metallurgical Plant (NMP) 纳杰日达冶金厂（纳杰日金斯基冶金厂）
NI-032,GL032,新增条目,俄罗斯,Buruktal (Svetly) Ferronickel Plant — ООО «БНЗ» (Buruktalsky Nickel Plant) 布鲁克塔尔(斯韦特雷)镍铁厂
NI-033,GL033,新增条目,俄罗斯,Chernogorsky GOK (Kingash Ni-Cu-PGE integrated project) 切尔诺戈尔斯克矿冶联合体（金加什镍铜铂族金属一体化项目）
NI-034,GL034,新增条目,俄罗斯,Copper Plant (Norilsk) 诺里尔斯克铜厂
NI-035,GL035,新增条目,哈萨克斯坦,Kaznickel (Gornostayevskoye Ni-Co ISL Project) 哈萨克镍业（戈尔诺斯塔耶夫斯科耶镍钴原位溶浸项目）
NI-036,GL036,新增条目,中国台湾,Taiwan Nickel Refining Corporation 台湾镍业精炼股份有限公司
NI-037,GL037,新增条目,日本,Niihama Nickel Refinery 新居浜镍精炼厂
NI-038,GL038,新增条目,日本,"Shimura Kako Co., Ltd. 志村化工株式会社(电解镍厂，历史)"
NI-039,GL039,新增条目,日本,"Nippon Yakin Kogyo Co., Ltd. Oheyama Works 日本冶金工业 大江山制作所"
NI-040,GL040,新增条目,日本,Harima Refinery 播磨精炼厂
NI-041,GL041,新增条目,日本,"Pacific Metals Co., Ltd. (PAMCO) Hachinohe Works 太平洋金属八户制炼所"
NI-042,GL042,新增条目,日本,"Nippon Mining Co., Ltd. Nickel-Cobalt Separation Plant (historical) 日本矿业 镍钴分离厂(历史，选址未确认)"
NI-043,GL043,新增条目,日本,"Hyuga Smelting Co., Ltd. 日向精炼所"
NI-044,GL044,新增条目,日本,Mitsubishi Materials Naoshima Smelter (nickel byproduct) 三菱综合材料 直岛制炼所(镍副产)
NI-045,GL045,新增条目,日本,Pacific Metals Hachinohe Polymetallic Nodule Processing Project 太平洋金属八户 多金属结核冶炼改造项目
NI-046,GL046,新增条目,日本,Sumitomo Metal Mining / Hyuga Smelting New Nickel Matte Production Facility 住友金属矿山/日向精炼 镍锍新产线
NI-047,GL047,新增条目,日本,"Tokyo Nickel Co., Ltd. / Vale Japan Ltd. 东京镍业公司(后更名Vale Japan)松阪制炼所"
NI-048,GL048,新增条目,韩国,Korea Nickel Corporation (KNC) 韩国镍业公司(KNC)
NI-049,GL049,新增条目,韩国,"SNNC Co., Ltd. (POSCO-SMSP Ferronickel Smelter) SNNC(POSCO-SMSP合资镍铁厂)"
NI-050,GL050,新增条目,韩国,EcoPro Materials Pohang Plant (RMP / Nickel-Cobalt Refining + Precursor) EcoPro Materials 浦项厂(RMP镍钴精炼+前驱体)
NI-051,GL051,新增条目,韩国,POSCO High-Purity Nickel Refinery POSCO 光阳高纯镍精炼厂
NI-052,GL052,新增条目,韩国,Torecom (LS MnM) Nickel Sulfate Refinery Torecom(LS MnM子公司) 牙山硫酸镍精炼厂
NI-053,GL053,新增条目,韩国,"Korea Zinc ""All-in-One Nickel Smelter"" (KEMCO, new) 高丽亚锌 温山'一体化镍冶炼厂'(新建)"
NI-054,GL054,新增条目,韩国,LS MnM Ulsan Nickel-Cobalt-Manganese Sulfate Plant LS MnM 温山镍钴锰硫酸盐新厂
NI-055,GL055,新增条目,韩国,KEMCO (Korea Zinc) Onsan Nickel Sulphate Refinery (existing line) 高丽亚锌/KEMCO 温山硫酸镍精炼厂(既有产线)
NI-056,GL056,新增条目,印度,Hindustan Copper Ltd — Indian Copper Complex Nickel-Copper-Acid Recovery Plant 印度斯坦铜业公司—印度铜业联合体镍-铜-酸回收装置
NI-057,GL057,新增条目,印度,Nicomet Industries Ltd. (Vedanta Nicomet) 尼科梅特工业公司（Vedanta Nicomet）
NI-058,GL058,新增条目,泰国,AFC Nickel Sulphate Plant AFC硫酸镍厂
NI-059,GL059,新增条目,缅甸,Tagaung Taung Nickel-Iron (Ferronickel) Project 德贡东（塔冈冬）镍铁冶炼项目
NI-060,GL060,新增条目,缅甸,Mwetaung (Gullu Mual) Nickel-Ferronickel Project 牟埃冬（古鲁穆阿）镍铁项目
NI-061,GL061,新增条目,菲律宾,Nonoc Nickel Refinery (Marinduque Mining & Industrial Corp.); revival attempted by Philnico Industrial Corporation (PIC) 诺诺克岛镍精炼厂（马林杜克矿业公司建；后由Philnico公司尝试复产改造）
NI-062,MHP045,合并已有条目,菲律宾,Coral Bay Nickel Corporation (CBNC) 珊瑚湾镍业
NI-063,MHP047,合并已有条目,菲律宾,Taganito HPAL Nickel Corporation (THPAL) 塔加尼托高压酸浸项目
NI-064,GL064,新增条目,菲律宾,Global Ferronickel Holdings (GFNI) Planned HPAL Plant Global Ferronickel Holdings拟建HPAL厂
NI-065,GL065,新增条目,菲律宾,Nickel Asia Corporation Third HPAL Plant (Pujada Peninsula Project) Nickel Asia第三座HPAL厂（普哈达半岛项目）
NI-066,GL066,新增条目,菲律宾,Nickel Asia – DMCI Mining Nickel Processing Plant Partnership Nickel Asia与DMCI Mining镍加工厂合作项目
NI-067,GL067,新增条目,菲律宾,Zambales Ferro-Nickel Plant and Mining Project (Westchinamin Corp.) 三描礼士省镍铁厂及配套矿山项目（Westchinamin公司）
NI-068,GL068,新增条目,越南,Ban Phuc Nickel Mine & Concentrator 版福镍矿及选矿厂
NI-069,GL069,新增条目,越南,Ta Khoa Refinery (TKR) 达卡精炼厂（塔科亚精炼厂）
NI-070,MHP037,合并已有条目,巴布亚新几内亚,Ramu NiCo Management (MCC) Limited 瑞木镍钴
NI-071,GL071,新增条目,新喀里多尼亚,Pointe Chaleix Smelter 沙莱克斯角(Pointe Chaleix)冶炼厂（新喀里多尼亚第一座镍冶炼厂）
NI-072,GL072,新增条目,新喀里多尼亚,"Ouroué Foundry, Thio 蒂奥乌鲁埃(Ouroué)冶炼厂"
NI-073,GL073,新增条目,新喀里多尼亚,Doniambo Smelter (SLN) 多尼安博(Doniambo)冶炼厂
NI-074,GL074,新增条目,新喀里多尼亚,Thio-Mission Foundry 蒂奥教会区(Thio-Mission)冶炼厂
NI-075,MHP035,合并已有条目,新喀里多尼亚,Prony Resources New Caledonia SAS 普罗尼戈罗镍钴项目
NI-076,GL076,新增条目,新喀里多尼亚,Koniambo Nickel SAS (KNS) Smelter 科尼安博(Koniambo)镍业公司(KNS)冶炼厂
NI-077,GL077,新增条目,新喀里多尼亚,Hauts Fourneaux de Nouméa (Nouméa Blast Furnaces Co.) 努美阿高炉公司(Hauts Fourneaux de Nouméa)
NI-078,GL078,新增条目,澳大利亚,Kwinana Nickel Refinery (incl. Nickel Sulphate Plant) 奎纳纳镍精炼厂（含硫酸镍工厂）
NI-079,GL079,新增条目,澳大利亚,Kalgoorlie Nickel Smelter 卡尔古利镍冶炼厂
NI-080,GL080,新增条目,澳大利亚,Yabulu Nickel Refinery (Palmer Nickel and Cobalt Refinery) 亚布鲁镍精炼厂（帕尔默镍钴精炼厂）
NI-081,MHP041,合并已有条目,澳大利亚,Norilsk Nickel Avalon Pty Ltd — Bulong 布隆阿瓦隆历史项目
NI-082,MHP040,合并已有条目,澳大利亚,Norilsk Nickel Cawse Pty Ltd 考斯历史项目
NI-083,MHP049,合并已有条目,澳大利亚,Murrin Murrin Operations / Minara Resources 穆林穆林镍钴项目
NI-084,MHP036,合并已有条目,澳大利亚,Ravensthorpe Nickel Operations (RNO) 雷文斯索普镍业
NI-085,GL085,新增条目,澳大利亚,Cobalt Blue Kwinana Cobalt-Nickel Refinery Cobalt Blue Kwinana钴镍精炼厂
NI-086,GL086,新增条目,澳大利亚,Kalgoorlie Nickel Project – Goongarrie Hub 卡尔古利镍项目—贡加里枢纽
NI-087,GL087,新增条目,澳大利亚,Kalgoorlie pCAM Battery Materials Hub (Poseidon Nickel / Pure Battery Technologies) 卡尔古利前驱体正极材料(pCAM)电池材料枢纽
NI-088,GL088,新增条目,澳大利亚,Kwinana Integrated Battery Material Facility (IGO / Wyloo Downstream Nickel Project) 奎纳纳一体化电池材料设施(IGO/Wyloo下游镍项目)
NI-089,GL089,新增条目,澳大利亚,NiWest Nickel-Cobalt Project NiWest镍钴项目
NI-090,GL090,新增条目,澳大利亚,Sconi Cobalt-Nickel-Scandium Project 斯科尼(Sconi)钴镍钪项目
NI-091,GL091,新增条目,澳大利亚,Sunrise Nickel-Cobalt Project (formerly Clean TeQ Sunrise) 日出(Sunrise)镍钴项目（原Clean TeQ Sunrise项目，与Syerston钪项目同一矿区）
NI-092,GL092,新增条目,澳大利亚,TECH Project (Townsville Energy Chemicals Hub) 昆士兰太平洋金属公司(QPM) TECH项目（汤斯维尔能源化工枢纽）
NI-093,GL093,新增条目,澳大利亚,Wingellina Nickel-Cobalt Project (Central Musgrave Project) 温杰利纳(中马斯格雷夫)镍钴项目
NI-094,GL094,新增条目,加拿大,"Canadian Copper Company Copper Cliff Smelter (1888 original plant) 加拿大铜业公司科珀克利夫冶炼厂(1888年原始厂,萨德伯里首座冶炼厂)"
NI-095,GL095,新增条目,加拿大,Copper Cliff Smelter Complex (Vale Sudbury Complex) 铜崖冶炼厂综合体（萨德伯里）
NI-096,GL096,新增条目,加拿大,Mond Nickel Company Victoria Mines Smelter 蒙德镍业公司维多利亚矿区冶炼厂
NI-097,GL097,新增条目,加拿大,Deloro Smelting and Refining Company 德洛罗冶炼精炼公司（钴/银/砷为主，镍为伴生，存疑收录）
NI-098,GL098,新增条目,加拿大,Coniston Smelter 科尼斯顿冶炼厂
NI-099,GL099,新增条目,加拿大,"British America Nickel Corporation – Deschênes, Quebec Hybinette Refinery 英美镍业公司魁北克德申海宾内特法精炼厂"
NI-100,GL100,新增条目,加拿大,Port Colborne Nickel Refinery 科尔本港镍精炼厂
NI-101,GL101,新增条目,加拿大,British America Nickel Corporation – Nickelton Smelter 英美镍业公司镍尔顿(Nickelton)冶炼厂(默里矿区)
NI-102,GL102,新增条目,加拿大,Sudbury Smelter (Falconbridge / Glencore Sudbury Integrated Nickel Operations) 萨德伯里冶炼厂（原Falconbridge，现Glencore萨德伯里一体化镍业务）
NI-103,GL103,新增条目,加拿大,Sherritt Fort Saskatchewan Metals Processing Plant 谢里特堡萨斯喀彻温精炼厂
NI-104,GL104,新增条目,加拿大,Thompson Refinery 汤普森精炼厂
NI-105,GL105,新增条目,加拿大,Thompson Smelter 汤普森冶炼厂
NI-106,GL106,新增条目,加拿大,Copper Cliff Nickel Refinery (CCNR) 铜崖镍精炼厂（羰基法）
NI-107,GL107,新增条目,加拿大,Long Harbour Processing Plant 朗哈伯（长港）湿法冶炼厂
NI-108,GL108,新增条目,加拿大,Argentia Hydrometallurgical Demonstration/Commercial Plant (proposed; superseded by Long Harbour) 阿金夏（阿真蒂亚）湿法冶炼示范/商业化项目（未按原计划建成，后被Long Harbour取代）
NI-109,GL109,新增条目,加拿大,Crawford Nickel-Cobalt Project & NetZero Metals Downstream Processing (planned) 克劳福德镍钴项目及NetZero Metals下游加工厂（规划中）
NI-110,GL110,新增条目,美国,"American Nickel Works, Camden, New Jersey 美国镍业公司(卡姆登镍厂，约瑟夫·沃顿创办)"
NI-111,GL111,新增条目,美国,"Orford Copper Company Refinery (Constable Hook, Bayonne, NJ) 奥福德铜业公司炼厂（新泽西州贝永市）"
NI-112,GL112,新增条目,美国,"Hanna Nickel Smelting Co. / Glenbrook Nickel Co. Smelter (Riddle, Oregon / Nickel Mountain) 汉纳镍冶炼公司/格伦布鲁克镍业公司里德尔冶炼厂（俄勒冈州镍山）"
NI-113,GL113,新增条目,美国,Westwin Elements Lawton Nickel-Cobalt Refinery (Pilot/Demonstration Plant) 西温元素公司劳顿镍钴精炼厂（中试/示范装置）
NI-114,GL114,新增条目,美国,Electra Battery Materials Nickel Sulphate Refinery (proposed) Electra电池材料公司硫酸镍精炼厂（拟建）
NI-115,GL115,新增条目,美国,Missouri Cobalt / US Strategic Metals Battery Active Materials Plant 密苏里钴业/美国战略金属公司电池活性材料厂（含镍）
NI-116,GL116,新增条目,美国,NorthMet Project Hydrometallurgical Plant (PolyMet / NewRange Copper Nickel) 北金属(NorthMet)项目湿法冶炼厂（PolyMet/新域铜镍，规划中）
NI-117,GL117,新增条目,美国,Precision Periodic Central Florida Nickel-Cobalt-Manganese Refinery (proposed) Precision Periodic佛罗里达中部镍钴锰精炼厂（拟建）
NI-118,GL118,新增条目,美国,Stillwater/Sibanye-Stillwater Columbus Base Metal Refinery (PGM by-product nickel) 斯蒂尔沃特/西班牙优山比耶-斯蒂尔沃特哥伦布贱金属精炼厂（铂族金属副产镍）
NI-119,GL119,新增条目,美国,"Talon Metals Beulah Minerals Processing Facility (Tamarack Project processing plant, North Dakota) — CANCELLED 塔隆金属公司北达科他州比尤拉矿物加工厂（塔马拉克项目配套设施，已放弃）"
NI-120,GL120,新增条目,美国,Westwin Elements Bryan County Nickel Refinery (proposed) 西温元素公司佐治亚州布莱恩县镍精炼厂（拟议中）
NI-121,GL121,新增条目,危地马拉,"Fenix Nickel Project (Pronico ferronickel plant / CGN mine, formerly Exmibal/Inco) 菲尼克斯镍项目（普罗尼科镍铁厂，原EXMIBAL/Inco矿）"
NI-122,GL122,新增条目,古巴,Nicaro Nickel Plant (Comandante René Ramos Latour) 尼卡罗镍厂（雷内·拉莫斯·拉图尔镍厂）
NI-123,GL123,新增条目,古巴,Moa Nickel S.A. – Pedro Sotto Alba Plant 莫阿镍厂（佩德罗·索托·阿尔瓦厂）
NI-124,GL124,新增条目,古巴,Ernesto Che Guevara Nickel Plant (Punta Gorda) 蓬塔戈尔达镍厂（切·格瓦拉镍厂）
NI-125,GL125,新增条目,古巴,"Las Camariocas Plant (Comandante Camilo Cienfuegos, unfinished) 拉斯卡马里奥卡斯镍厂（卡米洛·西恩富戈斯镍厂，未完工）"
NI-126,GL126,新增条目,古巴,San Felipe Nickel Project (planned) 圣费利佩镍项目（规划，卡马圭省）
NI-127,GL127,新增条目,哥伦比亚,Cerro Matoso Ferronickel Mine and Smelter 塞罗马托索镍铁厂
NI-128,GL128,新增条目,多米尼加共和国,Falcondo (Falconbridge Dominicana) Ferronickel Plant 法尔康多镍铁厂（博纳奥）
NI-129,GL129,新增条目,委内瑞拉,Loma de Níquel Ferronickel Plant 洛马德尼克尔镍铁厂
NI-130,GL130,新增条目,巴西,Morro do Níquel Plant 莫罗-多-尼克尔镍厂
NI-131,GL131,新增条目,巴西,Companhia Níquel Tocantins (CNT) Caron Plant 托坎廷斯镍公司（尼克兰迪亚Caron氨浸厂）
NI-132,GL132,新增条目,巴西,Codemin Ferronickel Plant (Niquelândia) 科德明镍铁厂（尼克兰迪亚）
NI-133,GL133,新增条目,巴西,Mineração Serra da Fortaleza (Fortaleza de Minas Nickel Matte Smelter) 福塔莱萨-德米纳斯镍厂（塞拉福塔莱萨矿业）
NI-134,GL134,新增条目,巴西,Barro Alto Ferronickel Plant 巴罗阿尔托镍铁厂
NI-135,GL135,新增条目,巴西,Onça Puma Ferronickel Plant 翁萨普马镍铁厂
NI-136,GL136,新增条目,巴西,Araguaia Ferronickel Project (Horizonte Minerals) 阿拉瓜亚镍铁项目
NI-137,MHP043,合并已有条目,巴西,Piauí Níquel Metais S.A. 皮奥伊镍项目
NI-138,GL138,新增条目,巴西,São Miguel Paulista Electrolytic Nickel Refinery 圣米格尔保利斯塔电解镍精炼厂
NI-139,GL139,新增条目,巴西,Vermelho Nickel-Cobalt Project (Horizonte Minerals) 维尔梅柳镍钴项目
NI-140,GL140,新增条目,南非,Impala Refining Services Base Metals Refinery (Springs) 英帕拉铂业斯普林斯贱金属精炼厂
NI-141,GL141,新增条目,南非,Nkomati Nickel Mine (MMZ & PCMZ concentrators) 恩科马蒂镍矿选矿厂
NI-142,GL142,新增条目,南非,Northam Platinum Zondereinde Smelter & Base Metals Refinery 诺瑟姆铂业桑德雷恩德冶炼厂及贱金属精炼厂
NI-143,GL143,新增条目,南非,"Thakadu Nickel Sulfate Plant, Marikana 萨卡杜硫酸镍厂(马里卡纳)"
NI-144,GL144,新增条目,南非,Lonmin (Sibanye-Stillwater) Base Metals Refinery 隆明(西班尼-思达伟)贱金属精炼厂
NI-145,GL145,新增条目,南非,Rustenburg Base Metals Refinery (RBMR) / Waterval Smelter Complex 鲁斯滕堡贱金属精炼厂(RBMR，含瓦特瓦尔冶炼厂)
NI-146,GL146,新增条目,博茨瓦纳,BCL Smelter (Selebi-Phikwe Nickel-Copper Smelter) BCL塞莱比皮奎镍铜冶炼厂
NI-147,GL147,新增条目,博茨瓦纳,Tati Nickel Activox Base-Metals Refinery Project 塔蒂镍业Activox贱金属精炼项目(未建成)
NI-148,GL148,新增条目,坦桑尼亚,Kabanga Nickel Project & Kahama Hydrometallurgical Refinery (planned) 卡班加镍矿及卡哈马湿法冶金精炼厂(规划中)
NI-149,GL149,新增条目,坦桑尼亚,Ntaka Hill Nickel-Cobalt Laterite Project 恩塔卡山镍钴红土矿项目
NI-150,GL150,新增条目,布隆迪,"Musongati Nickel Laterite Project (planned, never built) 穆松加蒂镍红土矿项目(规划中，从未建成)"
NI-151,GL151,新增条目,摩洛哥,Bou Azzer Cobalt-Nickel Complex (CTT / Managem) 布阿泽尔钴镍联合厂(CTT/曼纳吉姆)
NI-152,GL152,新增条目,津巴布韦,Bindura Smelter & Refinery Complex (Bindura Nickel Corporation / Trojan Mine) 宾杜拉镍冶炼及精炼厂(宾杜拉镍业公司/特洛伊矿)
NI-153,GL153,新增条目,津巴布韦,Empress Nickel Refinery (ENR) 皇后镍精炼厂
NI-154,GL154,新增条目,津巴布韦,Hartley Platinum Mine PGM Base-Metals Refinery (byproduct nickel) 哈特利铂矿铂族金属贱金属精炼厂(副产镍)
NI-155,GL155,新增条目,津巴布韦,Zimplats Selous Metallurgical Complex (Smelter) 津巴布韦铂业塞卢斯冶炼厂
NI-156,GL156,新增条目,科特迪瓦,Western Côte d'Ivoire Nickel Laterite Prospects (Sipilou / Foungouesso / Moyango / Biankouma) — exploration/pre-development stage 科特迪瓦西部镍红土矿勘探项目群(西皮鲁/丰古埃索/莫扬戈/比安库马)
NI-157,MHP048,合并已有条目,马达加斯加,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目
NI-158,GL158,新增条目,瑞典,Kleva Nickel Mine & Smelter (Kleva gruva) 克莱瓦(Kleva)镍矿及冶炼厂
NI-159,GL159,新增条目,挪威,Bamble Nikkelverk (Bamble Nickel Works) 巴姆布勒(Bamble)镍厂
NI-160,GL160,新增条目,加拿大,Drury Nickel Company Smelter (Chicago Mine) 德鲁里镍业公司芝加哥矿冶炼厂
NI-161,GL161,新增条目,加拿大,Dominion Nickel Company Blezard Mine Smelter 多米尼恩镍业公司布莱扎德矿冶炼厂
NI-162,GL162,新增条目,奥地利,Schladming-Hopfriesen Nickel Smelter (Gersdorff Nickel Works) 施拉德明-霍普夫里森镍冶炼厂(格斯多夫镍业)
NI-163,GL163,新增条目,英国,"Mond Nickel Carbonyl Experimental/Model Refinery, Smethwick 蒙德(Mond)斯梅斯维克镍羰基法实验/模型精炼厂"
NI-164,GL164,新增条目,加拿大,Vale Bécancour Nickel Sulphate Plant (Vale Base Metals Nickel Sulphate Project) 淡水河谷贝坎库尔硫酸镍厂
NI-165,GL165,新增条目,加拿大,Wyloo Sudbury Battery Materials Processing Facility 怀洛(Wyloo)萨德伯里电池材料加工厂
NI-166,GL166,新增条目,哈萨克斯坦,Ferronickel Kombinat Ertis LLP (ТОО «Ферроникелевый комбинат «Ертіс»）／ Ferronickel Plant Ertis LLP 额尔齐斯(Ertis)铁镍联合企业有限公司（存疑，或为集团内部筹备型壳公司）
