项目ID,企业抬头+中文,原状态,复查状态,资料时点,研究发现,仍需确认,来源
NPI063,PT Anugrah Tambang Sejahtera (ATS) 安努格拉矿业,投产与运营待确认,冶炼主体与投产待确认,2019年开幕；2020—2022年Silkroad披露,地方政府2019年曾以Anugrah Tambang Sejahtera名义报道冶炼厂开幕。但Silkroad后续澄清把已建高炉归为ASI资产，FY2021年报则把Anugrah Tambang Smelter的收购列为2022年推进RKEF开发的步骤。这里的核心问题是法人及工程归属，不能仅用开幕报道确认Sejahtera拥有并运行全部炉子。 ,Sejahtera、Smelter和ASI各自持有的设备、许可证与生产收入。,"Silkroad 2020年澄清 https://links.sgx.com/1.0.0/corporate-announcements/8BRZJ6SZF2FCM4NU/610583_SRN%20-%20Clarification%20on%20Edge%20article.pdf
Silkroad FY2021年报 https://links.sgx.com/FileOpen/Silkroad%20Nickel%20Annual%20Report%20FY2021.ashx?App=Announcement&FileID=712145"
NPI065,PT Unity Nickel Alloy Indonesia 印尼联合镍合金,停产（历史记录）,停复产现况待确认,原表历史停产；2023—2024年扩容线索,PLN曾披露Unity的供电扩容安排，后续电力资料记有一期已送电、后期炉线建设。这些能说明厂区和扩建活动，却不足以推翻原表停产记录。华迪与Unity虽然有关联，但为不同法人，华迪停产不能直接代表Unity也停产。 ,Unity自身的停炉及复产日期、2026年用电负荷、二期送电与出铁。,PLN：Unity供电扩容，2023年2月4日 https://web.pln.co.id/cms/media/siaran-pers/2023/02/terus-dukung-hilirisasi-industri-pln-tambah-layanan-ke-smelter-di-sulsel-170-mva/
NPI068,PT Sebuku Ferroalloy Perkasa 塞布库铁合金,生产状态待确认,自产与当前运行待确认,2025年贸易；2026年生产岗位招聘,公司持续招聘电炉及原料、成品管理人员，贸易资料也有NPI发货。这比只有一个规划名称更接近实际生产组织，但还没有具名炉线产量或验收文件，不能单凭招聘和出口把所有货物认作本厂自产。 ,电炉数量与功率、首产日期、自产量以及与Excellen Silo Ferroalloy的资产边界。,"ITNY就业中心：SFP招聘，2025年7月 https://cda.itny.ac.id/lowongan-kerja-pt-sebuku-ferroalloy-perkasa/
SFP原料与成品岗位招聘，2026年1月 https://www.minergynews.com/read/2026/01/02/11444/lowongan-kerja-pertambangan-smelter-raw-material-and-finish-product-foreman-pt-sebuku-ferroalloy-perkasa.html
用户NPI逐票核查表 https://bc050603.github.io/indonesia-nickel/library/npi-trade-audit.xlsx"
NPI073,PT Cahaya Modern Metal Industri (CMMI) 现代金属工业,停产（历史记录）,历史已复产 · 现况待确认,2021年生产数据；2023年论文发表,2023年发表的企业生产研究明确使用CMMI的2021年生产数据，证明早期停产后已经恢复过生产。后续贸易记录也有商业活动。因此删除“2017年停产一直延续至今”的暗示，改查当前是否仍在开炉。 ,2025—2026年具名生产、停炉或复产记录。,"CMMI生产研究：2021年样本，2023年发表 https://eudl.eu/doi/10.4108/eai.4-11-2022.2328389
用户NPI逐票核查表 https://bc050603.github.io/indonesia-nickel/library/npi-trade-audit.xlsx"
NPI075,PT Century Metalindo 世纪冶金,停产维护,停产维护,2024年2月起；2025年12月资产报告,Wood Mackenzie于2025年12月更新的资产报告公开摘要写明，Century自2024年2月进入维护保养。原贸易样本最后发货在2024年3月，可能包含库存和在途货，不能据此把停炉日推迟。 ,2026年重启计划、实际复产及炉线负荷。,Wood Mackenzie：Century镍厂资产摘要 https://www.woodmac.com/reports/metals-pt-century-metalindo-nickel-operation-150094564
P27,PT Huashuo Nickel Indonesia 华硕镍业候选项目,投产待确认,法人已确认 · 投产待确认,华友2024年度股东大会资料,华友股东大会资料把PT Huashuo Nickel Indonesia单独列示，持股100%，并与Huaxing分别记录。因此此前“是否真实存在”的问题已有进展；仍不能把华兴的设备、调试或首产转写给华硕。 ,华硕自身的厂址许可、工艺包、开工和首产；100%股权仅按该披露时点。,华友2024年度股东大会会议资料 https://www.huayou.com/Public/Uploads/uploadfile2/files/20250429/MeetingMaterialsfor2024AnnualGeneralMeeting.pdf
P30,PT Yongyu International Energy Indonesia 永誉国际候选项目,投产待确认,未投产／工程仍列在建,截至2026年6月30日,盛屯2026半年报中“印尼永誉工程”期末仍有约1.249亿元在建工程余额，该项目未显示转入固定资产。结合此前购地和营地建设披露，研究判断仍属投产前项目。永誉与盛迈是不同公司，不能套用盛迈高冰镍项目的变更或终止状态。 ,主装置施工进度、最终产品路线及投产时间；在建余额与后续试产仍需持续对照。,"盛屯矿业2026年半年报 https://static.cninfo.com.cn/finalpage/2026-07-30/1225446751.PDF
SMM 2023年永誉走访 https://news.smm.cn/news/102260585"
MHP009,PT Gebe Industry Nickel 格贝镍业,历史已运行 · 现况待确认,历史已投产 · 现况待确认,2017年生产；2024年政府展示资料,ESDM在2017年已记录Gebe Industry Nickel生产氢氧化镍；2024年政府演示资料也将其列为运营项目。该厂位于东爪哇Gresik，不能误放在Gebe岛。现有证据解决了历史投产问题，但仍缺近两年的工厂产量或停复产说明。 ,2025—2026年实际运行、产品规格，以及与后来的STAL示范技术之间的关系。,"ESDM 2017年冶炼运营监测 https://www.esdm.go.id/id/media-center/news-archives/investasi-dan-keberlangsungan-operasi-fasilitas-pemurnian-pasca-peraturan-pemerintah-nomor-1-tahun-2017
JOGMEC发布的2024年印尼政府演示资料 https://mric.jogmec.go.jp/wp-content/uploads/2024/02/mrseminar2024_0227_03.pdf"
MHP025,PT EVerde Global Mineral 伊沃德湿法项目,投产待确认,项目已识别 · 投产待确认,公司HPAL项目页；2025年起工程人员资料,EVerde官网明确North Morowali项目及MHP、硫酸镍方向，并展示临时营地；项目人员资料有施工工作包。但官网没有明确整厂施工完成度或投产日期，不能把泛称“生产”的宣传语言视为已经出产品。 ,股东、官方设计产能、工程整体完成度及首产公告。,EVerde HPAL项目页 https://everde.global/everde-hpal-project/
MHP027,CNGR HPAL Project 中伟湿法项目,投产待确认,项目身份待确认,2024年投资者问答；后续具名项目尚未对应,中伟2024年投资者交流称当时印尼冶炼布局为火法，湿法方面设有研发与工程团队，并保留未来投资可能。设立团队与批准建设一家HPAL工厂是两件事；后续仍未找到能唯一对应原表这条项目的法人和工程。 ,原表6万吨及2028年目标的原始出处、具名投资决定和项目法人。,中伟2024年5月9日投资者关系活动记录 https://static.cninfo.com.cn/finalpage/2024-05-09/1220021382.PDF
MHP029,Haiwan Metal Project 海湾金属待识别项目,投产待确认,未投产 · TMI别名线索,2026年6—7月TMI投资披露,Mysteel同一项目表明确对应“PT Teluk Metal Industry（TMI）”与中文“海湾项目”。NIC投资公告则明确TMI在建、预计2027年中调试。因此把旧海湾条目指向TMI主体档案阅读；原表6万吨不叠加在TMI现行方案之上。原始行是否另有旧设计沿革仍可继续追溯。 ,原表6万吨的旧设计出处；TMI后续建设及实际投产。,"Mysteel：TMI明确中文简称海湾项目，2026年7月20日 https://m.mysteel.com/a/26072015/AE2FFE2BA7739E12_abc.html
Nickel Industries：TMI投资公告，2026年6月24日 https://links.sgx.com/FileOpen/3081331.ashx?App=Announcement&FileID=894021"
MHP032,PT Excellen Silo Leaching 埃克塞伦西洛浸出项目,投产待确认,未投产（项目页列建设中）,项目网页无更新日期；2023年设备交付,Excellen项目网页明确把ESL与ESF列为两个法人，分别承担HPAL与RKEF，并称项目在南加里曼丹建设中。网页没有可靠更新日期，同页泛称产品出口不能单独当作ESL已投产证明；设备供应记录只能确认工程环节。 ,是否迁至华宝园区、最新工程进度、投料及首批MHP；不能把ESF镍铁活动转给ESL。,"Excellen项目网站：发展阶段及在建说明 https://crystalsea.sg/blog/home/
Morimatsu ALTA 2024设备演示 https://d3e2i5nuh73s15.cloudfront.net/wp-content/uploads/2024/04/ALTA-2024-NCC-Presentation-Morimatsu.pdf"
MHP033,PT Ceria Kobalt Prima 塞里亚科巴尔特普里玛项目,投产待确认,独立法人及项目待确认,具名披露指向CKI；CKP尚未闭合,Ceria具名HPAL项目资料使用PT Ceria Kobalt Indotama（CKI），另有投资主体Ceria Prima Investama。本条“Ceria Kobalt Prima”尚未取得公司登记或投资文件，可能涉及名称混用，但不能因搜不到就断言它与CKI为同一家。 ,CKP注册原件及其与CKI的关系。,"Latham & Watkins项目交易记录：Ceria Kobalt Indotama https://www.lw.com/en/people/hui-yan-chew
JOGMEC：Ceria项目资料 https://journal.jogmec.go.jp/metal/info-reports/info-reports_00839.html"
NPI021,PT Westrong Metal Industry 纬创金属工业,部分停产／检修,部分产线检修 · 恢复进度待更新,2026年第二季度；上半年经营报告,Harum上半年经营资料记载WMI二季度维护检修影响RKEF产量。它仍是已经商业运营的厂，不能写成从未投产，也不能把计划性检修写成永久关闭。当前缺少检修结束及各线负荷披露。 ,各线检修结束日期、第三季度开工负荷和产品分配。,Harum Energy 2026上半年经营说明 https://www.harumenergy.com/cfind/source/files/mdna/hrum---1h-2026-summary-and-highlights-new.pdf
NPI043,PT Gunbuster Nickel Industry (GNI) 德龙三期,部分停产,部分停产：三厂两停一开,2026年8月10日公司声明,GNI官方声明将调整归因于财务压力和债务重组，并明确三座冶炼厂中只维持一座及配套电厂。这里说的是厂组，不应擅自换算成某个固定开炉数；也不意味着GNI整厂退出生产。 ,两座停运厂组的重启时间、剩余厂组负荷。,GNI官方声明，2026年8月10日 https://gunbusternickelindustry.com/en_us/2026/08/10/press-release-workforce-optimization-as-an-effort-to-maintain-the-companys-operational-continuity/
NPI062,PT Bumi Mineral Sulawesi (BMS) 苏拉威西布米矿业,部分减停产（报道）,部分停产：FeNi 1临停,2026年8月16日起；8月22—26日报道,BMS经理称此前三个月水电供应下降影响生产，FeNi 1于8月16日临时停运，约570人临时待岗。后续报道指出主要涉及一号厂，也波及部分二号厂人员。二号炉上半年的首产不能推翻八月停运的新信息。 ,一号厂复产、电力恢复及另一座炉的实际负荷；硫酸镍二期仍单独列在建。,"Indeks Media：BMS现场经理说明，2026年8月22日 https://luwuraya.indeksmedia.id/2026/08/22/kompor-570-karyawan-bms-luwu-terancam-padam/
Suara Luwu：一号厂临时停运，2026年8月26日 https://suaraluwu.id/karyawan-pt-bms-luwu-dirumahkan-operasional-pabrik-1-dihentikan-sementara/"
MHP008,PT Huafei Nickel Cobalt 华飞镍钴,部分停产检修,部分停产检修,2026年5月1日起；8月19日半年报,华友4月公告安排华飞部分产线自5月1日起检修，预计影响约50%产量。8月发布的半年报继续记录这次检修及湿法产能未全面释放。该报告反映的是上半年，不能把它直接当作9月仍停一半的逐日运行证明。 ,检修线恢复日期及当前负荷；原预计50%影响不作为永久削减设计产能。,"华友2026年4月29日检修公告 https://static.cninfo.com.cn/finalpage/2026-04-29/1225231679.PDF
华友2026年半年报，第10页 https://static.cninfo.com.cn/finalpage/2026-08-19/1225480594.PDF#page=10"
MHP036,Ravensthorpe Nickel Operations (RNO) 雷文斯索普镍业,停产维护,停产维护,2024年7月起；2026—2028年指引,First Quantum的2026—2028年经营指引仍以Ravensthorpe处于维护保养为基础。保持设备和重启条件是资产保全工作，不代表已经重新产出镍产品。 ,重新投资决策、实际重启日期及恢复产量。,"First Quantum：2026—2028年指引 https://www.first-quantum.com/news/first-quantum-minerals-announces-2025-preliminary-production-and-2026-2028-guidance/
Ravensthorpe项目页 https://www.first-quantum.com/operations/ravensthorpe/"
MHP040,Norilsk Nickel Cawse Pty Ltd 考斯历史项目,停产维护（历史项目）,历史工厂停产,2008年停产；2026年项目清单,西澳2026年2月项目清单将Cawse列为Wingstar旗下勘探项目。这说明资源及项目登记仍在，并不意味着历史湿法工厂恢复运行。该条保留作海外技术与历史案例。 ,若有重启，应另取得工厂重建、许可和首产记录。,西澳政府2026年2月镍钴项目清单 https://www.wa.gov.au/media/159135/download?inline=
MHP041,Norilsk Nickel Avalon Pty Ltd — Bulong 布隆阿瓦隆历史项目,停产维护（历史项目）,历史工厂停产,2003年停产；2026年项目清单,西澳项目清单将Avalon列为勘探阶段，另有Bulong历史尾矿设施修复信息。资产转手、资源勘探与厂区修复都不等于恢复冶炼。 ,任何实际重建和复产决定。,"西澳政府2026年2月镍钴项目清单 https://www.wa.gov.au/media/159135/download?inline=
西澳政府Bulong尾矿设施修复 https://www.wa.gov.au/organisation/department-of-mines-petroleum-and-exploration/bulong-tailings-storage-facility-project"
MHP044,Moa Joint Venture / Fort Saskatchewan Refinery 莫阿与萨斯喀彻温堡加工链,停产（镍钴加工链）,镍钴加工链停产,2026年6月；第二季度业绩,Sherritt确认Fort Saskatchewan于6月22日耗尽进料，Moa矿山与加工在季度末停止。这里是一条古巴MSP—加拿大精炼链；加拿大继续生产肥料和硫酸，不代表镍钴金属精炼恢复。 ,古巴矿端恢复、进料运输重建和加拿大金属精炼重新启动。,"Sherritt 2026第二季度业绩 https://sherritt.com/sherritt-reports-second-quarter-2026-results/
Sherritt精炼厂运营更新 https://sherritt.com/sherritt-provides-update-on-operations-at-its-refinery/"
